<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 180, x: 19.079905, y: 1.779985, z: 0.000000
Id: 181, x: 19.479904, y: 1.781054, z: 0.000000
Id: 182, x: 19.879902, y: 1.782120, z: 0.000000
Id: 183, x: 20.279902, y: 1.783181, z: 0.000000
Id: 184, x: 20.679899, y: 1.784239, z: 0.000000
Id: 185, x: 21.079899, y: 1.785293, z: 0.000000
Id: 186, x: 21.479897, y: 1.786342, z: 0.000000
Id: 187, x: 21.879896, y: 1.787388, z: 0.000000
Id: 188, x: 22.279894, y: 1.788429, z: 0.000000
Id: 189, x: 22.679894, y: 1.789467, z: 0.000000
Id: 190, x: 23.079891, y: 1.790500, z: 0.000000
Id: 191, x: 23.479891, y: 1.791530, z: 0.000000
Id: 192, x: 23.879889, y: 1.792555, z: 0.000000
Id: 193, x: 24.279888, y: 1.793577, z: 0.000000
Id: 194, x: 24.679886, y: 1.794594, z: 0.000000
Id: 195, x: 25.079886, y: 1.795608, z: 0.000000
Id: 196, x: 25.479885, y: 1.796618, z: 0.000000
Id: 197, x: 25.879883, y: 1.797623, z: 0.000000
Id: 198, x: 26.279883, y: 1.798625, z: 0.000000
Id: 199, x: 26.679880, y: 1.799622, z: 0.000000
Id: 200, x: 27.079880, y: 1.800616, z: 0.000000
Id: 201, x: 27.479879, y: 1.801605, z: 0.000000
Id: 202, x: 27.879877, y: 1.802591, z: 0.000000
Id: 203, x: 28.279877, y: 1.803572, z: 0.000000
Id: 204, x: 28.679876, y: 1.804550, z: 0.000000
Id: 205, x: 29.079874, y: 1.805523, z: 0.000000
Id: 206, x: 29.479872, y: 1.806493, z: 0.000000
</Lanemarking>
<Lanemarking>
second: 1480559241, nanosecond: 762178000, sequence: 383
Id: 0, x: -2.920000, y: -1.905000, z: 0.000000
Id: 1, x: -2.520002, y: -1.903641, z: 0.000000
Id: 2, x: -2.120005, y: -1.902285, z: 0.000000
Id: 3, x: -1.720007, y: -1.900934, z: 0.000000
Id: 4, x: -1.320009, y: -1.899587, z: 0.000000
Id: 5, x: -0.920011, y: -1.898243, z: 0.000000
Id: 6, x: -0.520014, y: -1.896904, z: 0.000000
Id: 7, x: -0.120016, y: -1.895569, z: 0.000000
